Salary,TenureDays,Absences,EngagementSurvey,ManagerID,Cluster_Anomaly,Distance
49920,58.0,6,3.24,1.0,1,3.17119952440389
55425,1243.0,4,4.8,19.0,0,0.886397209383537
69340,1243.0,4,3.0,16.0,1,1.2658555657156567
64995,1243.0,6,4.5,15.0,0,0.44701831388798086
68182,770.0,18,3.72,11.0,1,1.817939260469997
83082,581.0,4,2.34,2.0,1,2.5259894996862635
51908,1243.0,14,3.99,12.0,3,1.1721573023747769
61242,1243.0,7,4.1,14.0,0,0.6425372438153926
45069,1243.0,7,4.3,20.0,0,1.121247193260165
60724,1243.0,11,4.6,19.0,3,0.7640273667186241
60436,1243.0,9,5.0,18.0,0,1.2235305753782157
46837,2365.0,9,4.7,22.0,0,2.757978933459835
105700,1243.0,2,3.75,4.0,2,1.7469287352376297
63322,1243.0,1,4.3,12.0,0,0.732624417099335
61154,1908.0,4,4.0,16.0,0,1.3974046300336858
68999,899.0,2,4.5,15.0,0,1.2338589637057846
50482,1243.0,10,3.07,22.0,1,1.1990628682440219
65310,1243.0,13,4.3,21.0,3,0.514829058356614
250000,1243.0,10,4.83,9.0,2,5.53161973200571
54005,1347.0,16,3.6,39.0,3,2.677417704961956
45433,836.0,6,3.49,11.0,1,1.5321215401824726
46654,1243.0,3,3.1,19.0,1,1.687268197886931
63973,1243.0,17,3.38,12.0,1,1.2612923352968652
71339,1243.0,20,3.65,17.0,3,1.4081448404714583
93206,1243.0,7,4.46,7.0,2,1.052822405964058
82758,1797.0,9,4.78,2.0,2,2.1047368233904655
66074,448.0,20,4.52,14.0,3,2.2672494272754258
46120,1243.0,13,5.0,14.0,3,1.2061707627974771
64520,1243.0,3,5.0,1.0,0,1.8583836807055296
61962,378.0,20,4.9,20.0,3,2.3698253830198706
81584,1243.0,2,4.1,13.0,0,1.0379228544542423
63676,2519.0,17,4.88,20.0,3,2.9844965835327546
93046,1243.0,20,4.1,2.0,2,1.897583799575152
64738,1243.0,10,4.1,16.0,0,1.0903918253999552
70468,1243.0,16,4.53,17.0,3,0.5722937709019819
77915,1243.0,11,4.1,2.0,2,1.518075324586434
52624,2640.0,16,3.18,22.0,3,3.5964218357938176
63450,1243.0,7,4.0,18.0,0,0.878409014642743
51777,1243.0,14,4.64,6.0,3,1.768850314773407
67237,1165.0,15,4.65,22.0,3,0.5820883608619146
73330,1243.0,19,4.2,16.0,3,1.0038166041192047
52057,1243.0,6,5.0,16.0,0,0.9619694708555089
47434,1468.0,17,5.0,39.0,3,2.6440475105187584
52788,1828.0,18,3.08,11.0,1,2.18085392483685
45395,1243.0,14,4.6,19.0,3,0.6569625825248155
62385,1243.0,4,5.0,15.0,0,0.8279496161756364
68407,411.0,16,5.0,11.0,3,2.4637565758246027
61349,1243.0,11,4.1,12.0,0,1.2391587468741974
105688,1243.0,14,4.5,10.0,2,0.9378286942182481
54132,1243.0,8,5.0,14.0,0,1.05172163093928
55315,1243.0,16,5.0,19.0,3,0.7608145545202876
62810,1243.0,20,3.93,20.0,3,1.050895098395341
63291,1243.0,7,3.4,21.0,1,1.2868352643914431
62659,1684.0,17,4.18,18.0,3,1.0635650401064336
55688,1243.0,10,5.0,22.0,3,1.201721521486478
83667,1243.0,2,4.37,2.0,0,1.8344814607984128
55800,1116.0,6,3.0,12.0,1,0.9482219105499092
58207,1243.0,14,3.7,14.0,1,1.1842976839300923
157000,1243.0,13,2.39,5.0,2,3.160613724022866
72460,1243.0,1,4.7,20.0,0,1.1540262291694683
72106,1243.0,12,4.1,18.0,3,0.879900284716098
52599,1243.0,6,3.81,7.0,0,1.276767960978976
63430,1243.0,18,4.4,16.0,3,0.6779329093513572
74417,1243.0,11,4.29,22.0,3,0.9996950297540632
57575,1243.0,13,4.1,20.0,3,0.5879939775974775
87921,1243.0,17,5.0,13.0,3,1.5976698249127053
50470,921.0,19,4.3,39.0,3,2.698672372856731
46664,1150.0,10,3.18,11.0,1,0.8847666935805709
48495,1243.0,11,5.0,19.0,3,1.120081464580308
52984,1243.0,12,4.0,12.0,3,1.2631380636959506
63695,1243.0,2,5.0,21.0,0,1.2675922613752133
62061,1243.0,4,3.6,14.0,0,1.0597953727811844
66738,1243.0,5,4.53,16.0,0,0.4704209996129163
52674,1492.0,3,2.33,20.0,1,1.9943944216515723
71966,462.0,17,5.0,39.0,3,3.2525392641154287
63051,1243.0,1,4.28,21.0,0,1.106202144174546
47414,1243.0,13,5.0,18.0,3,0.9751753501199442
53060,1243.0,6,4.25,22.0,0,1.1325533607266691
68829,1243.0,18,5.0,17.0,3,0.9918473695951389
63515,1070.0,7,3.89,16.0,0,1.0748869281458826
108987,1400.0,13,5.0,10.0,2,1.2471828103245264
93093,517.0,19,4.7,4.0,2,2.1956650331405276
53564,2544.0,15,3.54,39.0,3,4.015280831430516
60270,1533.0,2,2.4,11.0,1,1.9874116784494438
45998,1623.0,5,3.45,11.0,0,1.534039789365924
57954,630.0,12,4.2,19.0,3,1.672898342191049
74669,2032.0,6,4.16,2.0,0,2.282650199320423
74226,1243.0,14,4.3,12.0,3,1.1479359483315896
93554,1243.0,16,4.6,4.0,2,1.2618984778084046
64724,514.0,13,5.0,12.0,3,2.217945129120201
47001,1243.0,15,3.66,14.0,3,1.3130955681179386
61844,1243.0,9,4.2,21.0,3,1.1281593344399874
46799,2576.0,14,3.17,20.0,3,3.486311746784501
59472,1243.0,14,4.8,18.0,3,0.5550275981408079
46430,267.0,16,4.5,20.0,3,2.467892807578138
83363,1636.0,4,4.15,2.0,0,1.8933697634596618
95920,1243.0,10,4.4,13.0,2,1.2224038735298914
61729,2385.0,19,3.8,22.0,3,2.8092668849579923
61809,1243.0,4,3.98,17.0,0,0.713875950103019
45115,1705.0,11,5.0,16.0,3,1.5993285791001246
46738,1243.0,16,4.36,15.0,3,0.7973937797555832
64971,26.0,10,4.5,14.0,3,3.1901607649812544
55578,218.0,13,4.2,20.0,3,2.5717980655671635
50428,1842.0,11,5.0,11.0,0,1.8478869605601642
61422,1954.0,16,3.6,19.0,3,1.9059483631938952
63353,1243.0,4,3.6,12.0,0,1.0944852134907563
89883,1243.0,15,3.69,4.0,2,1.5269217521568332
120000,1405.0,12,3.88,4.0,2,1.0456925623654676
150290,1243.0,17,4.94,13.0,2,2.2294701415402103
60627,1243.0,8,5.0,14.0,0,1.0113137277025233
53180,2688.0,4,5.0,20.0,0,3.3110043722017477
140920,1243.0,13,3.6,5.0,2,1.6153531061398692
148999,1395.0,8,4.3,5.0,2,1.663627709827606
86214,1243.0,2,4.2,10.0,0,1.2541700879654394
47750,1243.0,4,2.6,18.0,1,1.5289681037751734
46428,3493.0,7,4.6,22.0,0,5.173159811015108
57975,1243.0,13,4.1,18.0,3,0.6156935469448142
88527,299.0,2,4.2,4.0,2,2.6232761138125738
56147,1243.0,2,3.51,16.0,0,1.2823404635147206
50923,1243.0,14,5.0,15.0,3,1.0110939850491845
50750,1243.0,7,3.31,7.0,1,1.3694057582557935
52087,1243.0,15,4.81,11.0,3,1.2210381976127846
87826,1243.0,16,3.32,4.0,1,1.8992545862913632
51920,1243.0,2,5.0,1.0,0,1.9233265411886986
63878,1990.0,20,4.68,22.0,3,1.9094388823305184
60656,1243.0,4,4.3,16.0,0,0.40852281027571935
72992,1243.0,16,2.4,15.0,1,1.199042058466942
55000,730.0,17,3.8,1.0,1,2.443176634525905
58939,1243.0,16,3.73,19.0,3,0.9120091716751111
66593,1243.0,19,4.3,6.0,3,1.853393511853555
87565,1243.0,13,3.27,7.0,1,1.4423391605473297
64021,1243.0,20,2.4,12.0,1,1.7431386410598724
65714,1243.0,15,4.83,2.0,2,2.136084906578299
62425,777.0,16,4.1,14.0,3,1.4626864106599338
47961,1243.0,9,4.1,20.0,3,1.2448584745811164
58273,1243.0,5,1.81,21.0,1,1.981680520352579
63003,1243.0,9,3.9,1.0,0,1.947216786946213
61355,1243.0,4,4.7,18.0,0,0.6908596445883086
60120,1243.0,18,4.1,17.0,3,0.7209378000393873
63682,1243.0,12,3.73,2.0,1,1.8695377929492494
63025,1243.0,10,4.36,22.0,3,0.9637382211499258
59238,1243.0,13,3.4,16.0,1,0.8280835650440944
92989,1243.0,1,4.5,10.0,0,1.518457776761263
90100,1243.0,14,3.4,13.0,1,1.3489308050785391
60754,1435.0,11,4.5,39.0,3,2.5716001236918906
72202,2245.0,3,3.93,16.0,0,2.2264425717229277
58370,1243.0,18,3.69,21.0,3,1.0780032740726184
48413,1889.0,1,3.98,11.0,0,1.6069217475897377
67176,1162.0,15,4.1,39.0,3,2.512190440337819
56339,1243.0,4,4.21,12.0,0,0.5116330076973522
64397,1243.0,6,4.1,21.0,0,1.029939938732714
63025,1243.0,18,2.44,14.0,1,1.3987813228446448
75281,403.0,11,5.0,7.0,2,2.3732099293176354
100416,1882.0,9,4.6,10.0,2,1.9974032369355212
74813,1269.0,5,4.4,11.0,0,0.7044551522245042
76029,1243.0,8,5.0,7.0,0,1.4680572672975796
57859,1243.0,16,2.81,17.0,1,1.0380397654035487
58523,1271.0,15,4.5,20.0,3,0.12282127518001909
88976,1243.0,19,3.93,2.0,2,1.890292855081267
55875,1243.0,11,4.5,17.0,3,0.8175583184166362
113999,737.0,9,4.33,4.0,2,0.9549704143051657
49773,1596.0,18,4.3,18.0,3,0.993993475606164
62068,1243.0,7,3.21,22.0,1,1.289678991951411
66541,1243.0,4,3.11,19.0,1,1.391042074219643
80512,98.0,5,4.5,2.0,2,2.9116473617964864
50274,1114.0,13,2.5,16.0,1,0.8867099356422783
84903,1243.0,17,3.42,13.0,1,1.5083904101813663
107226,1243.0,7,4.2,7.0,2,0.7964566991066814
58371,1221.0,11,5.0,39.0,3,2.649836411292483
55140,1575.0,7,5.0,11.0,0,1.1028952508543592
58062,490.0,9,3.6,19.0,1,1.8452534537248595
59728,1265.0,16,4.3,19.0,3,0.2326690566768667
70507,1140.0,7,5.0,12.0,0,1.1169766426146943
60446,1243.0,14,3.4,14.0,1,0.8749116398857968
65893,1243.0,13,4.07,20.0,3,0.6564016938102223
48513,2583.0,4,3.2,12.0,0,3.30057272031652
220450,1243.0,16,4.6,2.0,2,4.433327995012258
89292,1243.0,11,5.0,4.0,2,1.2330786391164357
45046,1243.0,2,4.5,14.0,0,0.8431002929799692
