"ITEM_SEQ","ENTP_NO","ENTP_NAME","ENTP_SEQ","INDUTY_CLASS_CODE","ITEM_NAME","SN","ITEM_PERMIT_DATE","INGR_CODE","INGR_KOR_NAME","MATERIAL_QTY","TOTQY_SEQ"
"202300030","1294","삼성제약(주)","19540005","A0","삼다파듀오정10/100밀리그램(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)","1","2023-01-03","M258339","다파글리플로진프로판디올수화물","","1"
"202300030","1294","삼성제약(주)","19540005","A0","삼다파듀오정10/100밀리그램(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)","1","2023-01-03","M251915","시타글립틴인산염수화물","","2"
"202300031","1510","익수제약(주)","19700005","A0","다파시타립정10/100밀리그램(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)","1","2023-01-03","M258339","다파글리플로진프로판디올수화물","","1"
"202300031","1510","익수제약(주)","19700005","A0","다파시타립정10/100밀리그램(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)","1","2023-01-03","M251915","시타글립틴인산염수화물","","2"
"202300036","1549","에이치엘비제약(주)","19720011","A0","시타글로정10/100밀리그램(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)","1","2023-01-03","M258339","다파글리플로진프로판디올수화물","","1"
"202300036","1549","에이치엘비제약(주)","19720011","A0","시타글로정10/100밀리그램(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)","1","2023-01-03","M251915","시타글립틴인산염수화물","","2"
"202300038","1308","(주)다림바이오텍","19550016","A0","디피원정10밀리그램(다파글리플로진프로판디올수화물)","1","2023-01-04","M258339","다파글리플로진프로판디올수화물","","1"
"202300039","1668","제일약품(주)","19860002","A0","테카비어디정(테노포비르알라페나미드)","1","2023-01-04","M281736","테노포비르알라페나미드","","1"
"202300042","1362","안국약품(주)","19580004","A0","노량캡슐","1","2023-01-04","M223211","클로르페니라민말레산염","","1"
"202300042","1362","안국약품(주)","19580004","A0","노량캡슐","2","2023-01-04","M223081","스코폴라민브롬화수소산염수화물","","1"
"202300042","1362","안국약품(주)","19580004","A0","노량캡슐","3","2023-01-04","M204304","피리독신염산염","","1"
"202300042","1362","안국약품(주)","19580004","A0","노량캡슐","4","2023-01-04","M203437","아미노벤조산에틸","","1"
"202300042","1362","안국약품(주)","19580004","A0","노량캡슐","5","2023-01-04","M223183","카페인무수물","","1"
"202300044","1401","(주)한국파마","19600004","A0","크리롤액(폴리에틸렌글리콜4000)","1","2023-01-04","M243338","폴리에틸렌글리콜4000","","1"
"202300045","353","(주)인트로바이오파마","20152174","A0","이지락스액(폴리에틸렌글리콜4000)","1","2023-01-04","M243338","폴리에틸렌글리콜4000","","1"
"202300051","1321","신일제약(주)","19560015","A0","포시글리듀오서방정10/1000밀리그램","1","2023-01-05","M268403","다파글리플로진무수유당혼합물","","1"
"202300051","1321","신일제약(주)","19560015","A0","포시글리듀오서방정10/1000밀리그램","1","2023-01-05","M244179","메트포르민염산염","","2"
"202300053","1305","(주)동구바이오제약","19550015","A0","에스카브정60/5밀리그램","1","2023-01-05","M258703","피마사르탄칼륨삼수화물","","1"
"202300053","1305","(주)동구바이오제약","19550015","A0","에스카브정60/5밀리그램","1","2023-01-05","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300054","1305","(주)동구바이오제약","19550015","A0","에스카브정30/2.5밀리그램","1","2023-01-05","M258703","피마사르탄칼륨삼수화물","","1"
"202300054","1305","(주)동구바이오제약","19550015","A0","에스카브정30/2.5밀리그램","1","2023-01-05","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300055","1305","(주)동구바이오제약","19550015","A0","에스카브정60/2.5밀리그램","1","2023-01-05","M258703","피마사르탄칼륨삼수화물","","1"
"202300055","1305","(주)동구바이오제약","19550015","A0","에스카브정60/2.5밀리그램","1","2023-01-05","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300056","1514","한화제약(주)","19700009","A0","포실로진에스정(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)","1","2023-01-05","M258339","다파글리플로진프로판디올수화물","","1"
"202300056","1514","한화제약(주)","19700009","A0","포실로진에스정(다파글리플로진프로판디올수화물,시타글립틴인산염수화물)","1","2023-01-05","M251915","시타글립틴인산염수화물","","2"
"202300063","1514","한화제약(주)","19700009","A0","한화졸레드론산주5밀리그램/100밀리리터(졸레드론산일수화물)","1","2023-01-05","M253522","졸레드론산일수화물","","1"
"202300069","942","(주)씨엘팜","20110276","A0","씨엘팜셀레늄구강용해필름(아셀렌산나트륨오수화물)","1","2023-01-05","M210377","아셀렌산나트륨오수화물","","1"
"202300071","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스연질캡슐","1","2023-01-06","M040353","아세트아미노펜","","1"
"202300071","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스연질캡슐","2","2023-01-06","M050058","구아이페네신","","1"
"202300071","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스연질캡슐","3","2023-01-06","M203364","슈도에페드린염산염","","1"
"202300071","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스연질캡슐","4","2023-01-06","M264046","DL-메틸에페드린염산염","","1"
"202300071","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스연질캡슐","5","2023-01-06","M222957","덱스트로메토르판브롬화수소산염수화물","","1"
"202300071","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스연질캡슐","6","2023-01-06","M250460","트리프롤리딘염산염수화물","","1"
"202300072","1367","알보젠코리아(주)","19580003","A0","젠시가에스정10/100밀리그램(다파글리플로진,시타글립틴)","1","2023-01-06","M258339","다파글리플로진프로판디올수화물","","1"
"202300072","1367","알보젠코리아(주)","19580003","A0","젠시가에스정10/100밀리그램(다파글리플로진,시타글립틴)","2","2023-01-06","M251915","시타글립틴인산염수화물","","1"
"202300078","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스노즈연질캡슐","1","2023-01-06","M040353","아세트아미노펜","","1"
"202300078","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스노즈연질캡슐","2","2023-01-06","M203364","슈도에페드린염산염","","1"
"202300078","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스노즈연질캡슐","3","2023-01-06","M264046","DL-메틸에페드린염산염","","1"
"202300078","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스노즈연질캡슐","4","2023-01-06","M222957","덱스트로메토르판브롬화수소산염수화물","","1"
"202300078","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스노즈연질캡슐","5","2023-01-06","M250460","트리프롤리딘염산염수화물","","1"
"202300081","1309","엔비케이제약(주)","19550019","A0","듀코르정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300081","1309","엔비케이제약(주)","19550019","A0","듀코르정30/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300082","1323","아주약품(주)","19560005","A0","피마텐정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300082","1323","아주약품(주)","19560005","A0","피마텐정30/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300083","2335","(주)한국글로벌제약","20020023","A0","아디카브정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300083","2335","(주)한국글로벌제약","20020023","A0","아디카브정30/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300084","1358","(주)바이넥스","19570004","A0","피마로핀정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300084","1358","(주)바이넥스","19570004","A0","피마로핀정30/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300085","1386","(주)에이프로젠바이오로직스","19590001","A0","듀카핀정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300085","1386","(주)에이프로젠바이오로직스","19590001","A0","듀카핀정30/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300086","1313","(주)마더스제약","19550012","A0","듀카엠정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300086","1313","(주)마더스제약","19550012","A0","듀카엠정30/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300087","1957","(주)넥스팜코리아","19960030","A0","듀라브정30/2.5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300087","1957","(주)넥스팜코리아","19960030","A0","듀라브정30/2.5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300088","2621","(주)이든파마","20141181","A0","핀카브정30/2.5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300088","2621","(주)이든파마","20141181","A0","핀카브정30/2.5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300089","2621","(주)이든파마","20141181","A0","핀카브정60/5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300089","2621","(주)이든파마","20141181","A0","핀카브정60/5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300090","1957","(주)넥스팜코리아","19960030","A0","듀라브정60/5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300090","1957","(주)넥스팜코리아","19960030","A0","듀라브정60/5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300091","6163","건일바이오팜주식회사","2021003442","A0","건카브정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300091","6163","건일바이오팜주식회사","2021003442","A0","건카브정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300093","2335","(주)한국글로벌제약","20020023","A0","아디카브정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300093","2335","(주)한국글로벌제약","20020023","A0","아디카브정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300094","1325","제이더블유신약(주)","19560016","A0","듀얼테라정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300094","1325","제이더블유신약(주)","19560016","A0","듀얼테라정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300096","1632","대웅바이오(주)","19830008","A0","듀카노바정60/5밀리그램(피마사르탄, 에스암로디핀)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300096","1632","대웅바이오(주)","19830008","A0","듀카노바정60/5밀리그램(피마사르탄, 에스암로디핀)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300097","1549","에이치엘비제약(주)","19720011","A0","듀카엘비정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300097","1549","에이치엘비제약(주)","19720011","A0","듀카엘비정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300098","1386","(주)에이프로젠바이오로직스","19590001","A0","듀카핀정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300098","1386","(주)에이프로젠바이오로직스","19590001","A0","듀카핀정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300099","1358","(주)바이넥스","19570004","A0","피마로핀정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300099","1358","(주)바이넥스","19570004","A0","피마로핀정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300100","1508","일성신약(주)","19700003","A0","피마사브정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300100","1508","일성신약(주)","19700003","A0","피마사브정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300101","1309","엔비케이제약(주)","19550019","A0","듀코르정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300101","1309","엔비케이제약(주)","19550019","A0","듀코르정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300102","1324","삼진제약(주)","19560011","A0","피마듀오정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300102","1324","삼진제약(주)","19560011","A0","피마듀오정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300103","1437","영풍제약(주)","19630009","A0","암디카브큐정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300103","1437","영풍제약(주)","19630009","A0","암디카브큐정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300104","2423","(주)씨티씨바이오","20040011","A0","듀이젠정60/5밀리그램(피마사르탄칼륨삼수화물, 에스암로디핀베실산염)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300104","2423","(주)씨티씨바이오","20040011","A0","듀이젠정60/5밀리그램(피마사르탄칼륨삼수화물, 에스암로디핀베실산염)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300105","1323","아주약품(주)","19560005","A0","피마텐정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300105","1323","아주약품(주)","19560005","A0","피마텐정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300106","1313","(주)마더스제약","19550012","A0","듀카엠정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300106","1313","(주)마더스제약","19550012","A0","듀카엠정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300107","1351","환인제약(주)","19570014","A0","듀카포지정60/5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300107","1351","환인제약(주)","19570014","A0","듀카포지정60/5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300108","2621","(주)이든파마","20141181","A0","핀카브정60/2.5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300108","2621","(주)이든파마","20141181","A0","핀카브정60/2.5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300109","1957","(주)넥스팜코리아","19960030","A0","듀라브정60/2.5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300109","1957","(주)넥스팜코리아","19960030","A0","듀라브정60/2.5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300110","1654","(주)테라젠이텍스","19850002","A0","듀카나젠정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300110","1654","(주)테라젠이텍스","19850002","A0","듀카나젠정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300111","6163","건일바이오팜주식회사","2021003442","A0","건카브정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300111","6163","건일바이오팜주식회사","2021003442","A0","건카브정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300112","1508","일성신약(주)","19700003","A0","피마사브정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300112","1508","일성신약(주)","19700003","A0","피마사브정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300113","1386","(주)에이프로젠바이오로직스","19590001","A0","듀카핀정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300113","1386","(주)에이프로젠바이오로직스","19590001","A0","듀카핀정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300114","1549","에이치엘비제약(주)","19720011","A0","듀카엘비정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300114","1549","에이치엘비제약(주)","19720011","A0","듀카엘비정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300115","1632","대웅바이오(주)","19830008","A0","듀카노바정60/2.5밀리그램(피마사르탄, 에스암로디핀)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300115","1632","대웅바이오(주)","19830008","A0","듀카노바정60/2.5밀리그램(피마사르탄, 에스암로디핀)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300116","1416","동국제약(주)","19620002","A0","피마에스정60/2.5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300116","1416","동국제약(주)","19620002","A0","피마에스정60/2.5밀리그램(피마사르탄칼륨,에스암로디핀)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300117","1309","엔비케이제약(주)","19550019","A0","듀코르정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300117","1309","엔비케이제약(주)","19550019","A0","듀코르정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300118","2335","(주)한국글로벌제약","20020023","A0","아디카브정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300118","2335","(주)한국글로벌제약","20020023","A0","아디카브정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300119","1396","(주)일화","19600002","A0","듀카디핀정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300119","1396","(주)일화","19600002","A0","듀카디핀정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300120","1324","삼진제약(주)","19560011","A0","피마듀오정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300120","1324","삼진제약(주)","19560011","A0","피마듀오정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300121","2423","(주)씨티씨바이오","20040011","A0","듀이젠정60/2.5밀리그램(피마사르탄칼륨삼수화물, 에스암로디핀베실산염)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300121","2423","(주)씨티씨바이오","20040011","A0","듀이젠정60/2.5밀리그램(피마사르탄칼륨삼수화물, 에스암로디핀베실산염)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300122","1881","한국프라임제약(주)","19950015","A0","피마듀엣정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300122","1881","한국프라임제약(주)","19950015","A0","피마듀엣정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300123","1326","한국유니온제약(주)","19560010","A0","듀얼로우정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300123","1326","한국유니온제약(주)","19560010","A0","듀얼로우정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300124","1437","영풍제약(주)","19630009","A0","암디카브큐정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300124","1437","영풍제약(주)","19630009","A0","암디카브큐정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300125","1323","아주약품(주)","19560005","A0","피마텐정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300125","1323","아주약품(주)","19560005","A0","피마텐정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300126","1358","(주)바이넥스","19570004","A0","피마로핀정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300126","1358","(주)바이넥스","19570004","A0","피마로핀정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300127","1313","(주)마더스제약","19550012","A0","듀카엠정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300127","1313","(주)마더스제약","19550012","A0","듀카엠정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300128","1351","환인제약(주)","19570014","A0","듀카포지정60/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300128","1351","환인제약(주)","19570014","A0","듀카포지정60/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300129","1549","에이치엘비제약(주)","19720011","A0","듀카엘비정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300129","1549","에이치엘비제약(주)","19720011","A0","듀카엘비정30/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300130","1632","대웅바이오(주)","19830008","A0","듀카노바정30/2.5밀리그램(피마사르탄, 에스암로디핀)","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300130","1632","대웅바이오(주)","19830008","A0","듀카노바정30/2.5밀리그램(피마사르탄, 에스암로디핀)","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300131","1654","(주)테라젠이텍스","19850002","A0","듀카나젠정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300131","1654","(주)테라젠이텍스","19850002","A0","듀카나젠정30/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300132","1326","한국유니온제약(주)","19560010","A0","듀얼로우정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300132","1326","한국유니온제약(주)","19560010","A0","듀얼로우정30/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300133","1508","일성신약(주)","19700003","A0","피마사브정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
"202300133","1508","일성신약(주)","19700003","A0","피마사브정30/2.5밀리그램","1","2023-01-06","M252107","에스암로디핀베실산염2.5수화물","","2"
"202300134","1325","제이더블유신약(주)","19560016","A0","듀얼테라정30/2.5밀리그램","1","2023-01-06","M258703","피마사르탄칼륨삼수화물","","1"
